I_SECURITY,I_COMPANY,I_MARKET,I_INDUSTRY,I_SECTOR,I_SUBSECTOR,I_SEC_TYPE,N_SECURITY,N_SECURITY_T,N_SECURITY_E,I_SECURITY_LOCAL,I_ISIN,I_NATIVE
4902,120,A,0,0,0,D,ERW%1               ,,,566,TH0120033C22  ,F
4903,37,A,0,0,0,W,AYAL-V1             ,™ÿ¥∑’Ë 1,No.1,2005,TH003705K614  ,F
4904,214,A,0,0,0,W,AJ-V1               ,,,3000,TH021405F619  ,F
4905,37,A,0,0,0,D,AYAL%1              ,,,1890,TH003703GC26  ,F
4906,651,A,0,0,0,D,BAAC018A%           ,,,1623,TH065103B822  ,F
4907,651,A,0,0,0,D,BAAC018B%           ,,,1626,TH0651A3B827  ,F
4908,651,A,0,0,0,D,BAAC01NA%           ,,,1579,TH065103BB27  ,F
4909,651,A,0,0,0,D,BAAC023A%           ,,,2639,TH065103C325  ,F
4910,651,A,0,0,0,D,BAAC028A%           ,,,1624,TH065103C820  ,F
4911,651,A,0,0,0,D,BAAC029A%           ,,,1627,TH065103C929  ,F
4912,651,A,0,0,0,D,BAAC039A%           ,,,2647,TH065103D927  ,F
4914,148,A,0,0,0,D,BANPU%1             ,√ÿËπ 1993,ISSUE 1993,1026,TH0148038C28  ,F
4915,148,A,0,0,0,D,BANPU%2             ,,ISSUE 1999,1707,TH014803E120  ,F
4916,148,A,0,0,0,D,BANPU%3             ,,ISSUE 3/1999,1851,TH014803CB27  ,F
4917,148,A,0,0,0,D,BANPU%4             ,,ISSUE 4/1999,1852,TH014803EB25  ,F
4918,148,A,0,0,0,W,BANPU-V             ,,,1090,TH0148058B16  ,F
4919,148,A,0,0,0,W,BANPU-W-R           ,,,1090,TH0148058BR9  ,R
4920,148,A,0,0,0,W,BANPU-V2            ,,,1921,TH014805D119  ,F
4921,148, ,0,0,0,C,BANPU&1             ,√ÿËπ 1994,ISSUE 1994,1200,TH014804E839  ,F
4922,612, ,0,0,0,F,BAG-F               ,,,2480,TH0612010015  ,F
4923,612, ,0,0,0,S,BAG-R               ,,,2480,TH0612010R10  ,R
4924,77,A,1,1,0,S,BAP-R               ,,,204,TH0077010R16  ,R
4925,274,A,2,27,0,F,AFL-F               ,,,754,TH0274010014  ,F
4926,274,A,2,27,0,S,AFL-R               ,,,754,TH0274010R19  ,R
4927,584, ,0,0,0,F,AFS-F               ,,,2466,TH0584010019  ,F
4928,584, ,0,0,0,S,AFS-R               ,,,2466,TH0584010R11  ,R
4929,77,A,0,0,0,D,BAP%4               ,√ÿËπ 1987,ISSUE 1987,230,TH0077032728  ,F
4930,143,B,0,21,0,D,LH06DA%             ,§√—Èß∑’Ë 1/2544,ISSUE 1/2001,2699,TH014303GC35  ,F
4931,776, ,0,0,0,W,SIS-WA              ,ESOP Warrant §√—Èß∑’Ë 1,ESOP Warrant No.1,4931,              ,L
4933,545,A,0,0,0,W,SPORT-W2-R          ,ºŸÈ∂◊ÕÀÿÈπ‡¥‘¡ °√√¡°“√·≈–æπ—°ß“π,"Shareholders, directors and employees",4424,TH054505L6R0  ,R
4934,554,A,0,0,0,D,TAC05OA%            ,,ISSUE 1/2000,2046,TH055403FA22  ,F
4935,777,C,0,0,0,D,TIS086A             ,,,4935,TH077703I606  ,L
4937,703, ,0,0,0,W,MATCH-WC            ,ºŸÈ≈ß∑ÿπ‚¥¬‡©æ“–‡®“–®ß,Specific investors,4937,              ,L
4938,652,B,0,12,0,G,GHB077A             ,æ—π∏∫—µ√ æ.». 2547 §√—Èß∑’Ë 7,GHB47/7/3Y,4938,TH065203H702  ,L
4939,652,B,0,12,0,G,GHB077A%            ,æ—π∏∫—µ√ æ.». 2547 §√—Èß∑’Ë 7,GHB47/7/3Y,4938,TH065203H728  ,F
4940,652,B,0,12,0,G,GHB097A             ,æ—π∏∫—µ√ æ.». 2547 §√—Èß∑’Ë 8,GHB47/08/5Y,4940,TH065203J708  ,L
4941,652,B,0,12,0,G,GHB097A%            ,æ—π∏∫—µ√ æ.». 2547 §√—Èß∑’Ë 8,GHB47/08/5Y,4940,TH065203J724  ,F
4942,655,C,0,0,0,G,CB05707A            ,,,4942,TH065507F783  ,L
4943,655,C,0,0,0,G,CB05707A%           ,,,4942,TH065507F791  ,F
4944,655,C,0,0,0,G,CB05714A            ,,,4944,TH0655A7F783  ,L
4945,655,C,0,0,0,G,CB05714A%           ,,,4944,TH0655A7F791  ,F
4946,655,C,0,0,0,G,CB05721A            ,,,4946,TH0655B7F782  ,L
4947,655,C,0,0,0,G,CB05721A%           ,,,4946,TH0655B7F790  ,F
4948,655,C,0,0,0,G,CB05728A            ,,,4948,TH0655C7F781  ,L
4949,655,C,0,0,0,G,CB05728A%           ,,,4948,TH0655C7F799  ,F
4950,623,C,0,0,0,D,TB04804B            ,,,4950,TH0623D7E881  ,L
4951,623,C,0,0,0,D,TB04804B%           ,,,4950,TH0623D7E899  ,F
4952,623,C,0,0,0,D,TB04811B            ,,,4952,TH0623E7E880  ,L
4953,623,C,0,0,0,D,TB04811B%           ,,,4952,TH0623E7E898  ,F
4954,623,C,0,0,0,D,TB04818B            ,,,4954,TH0623F7E889  ,L
4955,623,C,0,0,0,D,TB04818B%           ,,,4954,TH0623F7E897  ,F
4956,623,C,0,0,0,D,TB04825B            ,,,4956,TH0623G7E888  ,L
4957,623,C,0,0,0,D,TB04825B%           ,,,4956,TH0623G7E896  ,F
4958,623,C,0,0,0,D,TB04O06B            ,,,4958,TH0623D7EA83  ,L
4959,623,C,0,0,0,D,TB04O06B%           ,,,4958,TH0623D7EA91  ,F
4960,623,C,0,0,0,D,TB04O13B            ,,,4960,TH0623E7EA81  ,L
4961,623,C,0,0,0,D,TB04O13B%           ,,,4960,TH0623E7EA99  ,F
4962,623,C,0,0,0,D,TB04O20B            ,,,4962,TH0623F7EA88  ,L
4963,623,C,0,0,0,D,TB04O20B%           ,,,4962,TH0623F7EA96  ,F
4964,623,C,0,0,0,D,TB04O27B            ,,,4964,TH0623G7EA86  ,L
4965,623,C,0,0,0,D,TB04O27B%           ,,,4964,TH0623G7EA94  ,F
4966,623,C,0,0,0,D,TB05105A            ,,,4966,TH062307F187  ,L
4967,623,C,0,0,0,D,TB05105A%           ,,,4966,TH062307F195  ,F
4968,623,C,0,0,0,D,TB05126A            ,,,4968,TH0623A7F188  ,L
4969,623,C,0,0,0,D,TB05126A%           ,,,4968,TH0623A7F196  ,F
4970,40, ,0,0,0,P,ICBCT-PA            ,ª√–‡¿∑ °,,4970,              ,L
4971,778,A,7,24,0,S,PRO                 ,,,4971,TH0778010Z01  ,L
4972,778,A,7,24,0,F,PRO-F               ,,,4971,TH0778010Z19  ,F
4973,778,A,7,24,0,S,PRO-R               ,,,4971,TH0778010R19  ,R
4974,623,C,0,0,0,D,TB05112A            ,,,4974,TH0623B7F187  ,L
4975,623,C,0,0,0,D,TB05112A%           ,,,4974,TH0623B7F195  ,F
4976,623,C,0,0,0,D,TB05119A            ,,,4976,TH0623C7F186  ,L
4977,623,C,0,0,0,D,TB05119A%           ,,,4976,TH0623C7F194  ,F
4978,375, ,0,0,0,D,TRUE117A            ,,,4978,TH037503L702  ,L
4980,779,A,4,29,0,S,TKT                 ,,,4980,TH0779010006  ,L
4981,779,A,4,29,0,F,TKT-F               ,,,4980,TH0779010014  ,F
4982,779,A,4,29,0,S,TKT-R               ,,,4980,TH0779010R17  ,R
4983,307,A,0,0,0,W,STEC-W2             ,„ÀÈ·°ËºŸÈ∂◊ÕÀÿÈπ‡¥‘¡,,4983,TH030705I409  ,L
4984,623,B,0,11,3,G,SB118A              ,æ—π∏∫—µ√ÕÕ¡∑√—æ¬Ï ª’ß∫ª√–¡“≥ 2547 Õ“¬ÿ 7 ª’,SLOAN47/01/7Y,4984,TH062303L804  ,L
4985,623,B,0,11,3,G,SB118A%             ,æ—π∏∫—µ√ÕÕ¡∑√—æ¬Ï ª’ß∫ª√–¡“≥ 2547 Õ“¬ÿ 7 ª’,SLOAN47/01/7Y,4984,TH062303L820  ,F
4986,623,B,0,11,3,G,SB148A              ,æ—π∏∫—µ√ÕÕ¡∑√—æ¬Ï ª’ß∫ª√–¡“≥ 2547 Õ“¬ÿ10 ª’,SLOAN47/01/10Y,4986,TH062303O808  ,L
4987,623,B,0,11,3,G,SB148A%             ,æ—π∏∫—µ√ÕÕ¡∑√—æ¬Ï ª’ß∫ª√–¡“≥ 2547 Õ“¬ÿ10 ª’,SLOAN47/01/10Y,4986,TH062303O824  ,F
4988,780,A,5,35,0,S,SEAFCO              ,,,4988,TH0780010Z07  ,L
4989,780,A,5,35,0,F,SEAFCO-F            ,,,4988,TH0780010Z15  ,F
4990,780,A,5,35,0,S,SEAFCO-R            ,,,4988,TH0780010R15  ,R
4991,693,C,0,0,0,D,LALI078A            ,,,4991,TH069303H805  ,L
4992,693,C,0,0,0,D,LALI078A%           ,,,4991,TH069303H821  ,F
4993,616,C,0,0,0,D,EAST087A            ,,,4993,TH061603I705  ,L
4995,616,C,0,0,0,D,EAST117A            ,,,4995,TH061603L709  ,L
4997,708,A,0,0,0,W,EGV-V1              ,,,4367,TH070805J711  ,F
4998,708,A,0,0,0,W,EGV-W1-R            ,,,4367,TH070805J7R5  ,R
4999,782,A,0,17,0,S,KTECH               ,,,4999,TH0782010Y04  ,L
5000,782,A,0,17,0,F,KTECH-F             ,,,4999,TH0782010Y12  ,F
5001,782,A,0,17,0,S,KTECH-R             ,,,4999,TH0782010R11  ,R
5002,781,A,8,6,0,S,ILINK               ,,,5002,TH0781010002  ,L
5003,781,A,8,6,0,F,ILINK-F             ,,,5002,TH0781010010  ,F
5004,781,A,8,6,0,S,ILINK-R             ,,,5002,TH0781010R13  ,R
5005,623,C,0,0,0,D,TB04901B            ,,,5005,TH0623E7E989  ,L
5006,623,C,0,0,0,D,TB04901B%           ,,,5005,TH0623E7E997  ,F
5007,623,C,0,0,0,D,TB04908B            ,,,5007,TH0623F7E988  ,L
5008,623,C,0,0,0,D,TB04908B%           ,,,5007,TH0623F7E996  ,F
5009,623,C,0,0,0,D,TB04915B            ,,,5009,TH0623G7E987  ,L
5010,623,C,0,0,0,D,TB04915B%           ,,,5009,TH0623G7E995  ,F
5011,623,C,0,0,0,D,TB04922B            ,,,5011,TH0623H7E986  ,L
5012,623,C,0,0,0,D,TB04922B%           ,,,5011,TH0623H7E994  ,F
5013,623,C,0,0,0,D,TB04N03B            ,,,5013,TH0623D7EB82  ,L
5014,623,C,0,0,0,D,TB04N03B%           ,,,5013,TH0623D7EB90  ,F
5015,623,C,0,0,0,D,TB04N10B            ,,,5015,TH0623E7EB80  ,L
5016,623,C,0,0,0,D,TB04N10B%           ,,,5015,TH0623E7EB98  ,F
5017,623,C,0,0,0,D,TB04N17B            ,,,5017,TH0623F7EB87  ,L
5018,623,C,0,0,0,D,TB04N17B%           ,,,5017,TH0623F7EB95  ,F
5019,623,C,0,0,0,D,TB04N24B            ,,,5019,TH0623G7EB85  ,L
5020,623,C,0,0,0,D,TB04N24B%           ,,,5019,TH0623G7EB93  ,F
5021,623,C,0,0,0,D,TB05202A            ,,,5021,TH062307F286  ,L
5022,623,C,0,0,0,D,TB05202A%           ,,,5021,TH062307F294  ,F
5023,623,C,0,0,0,D,TB05209A            ,,,5023,TH0623A7F287  ,L
5024,623,C,0,0,0,D,TB05209A%           ,,,5023,TH0623A7F295  ,F
5025,623,C,0,0,0,D,TB05216A            ,,,5025,TH0623B7F286  ,L
5026,623,C,0,0,0,D,TB05216A%           ,,,5025,TH0623B7F294  ,F
5027,623,C,0,0,0,D,TB05224A            ,,,5027,TH0623C7F285  ,L
5028,623,C,0,0,0,D,TB05224A%           ,,,5027,TH0623C7F293  ,F
